                               name                    recclass
220                Cumberland Falls                     Aubrite
221                       Cynthiana                       L/LL4
222                         Dahmani                         LL6
223                        Dandapur                          L6
224                   Daniel's Kuil                         EL6
225                        Danville                          L6
226                       Darmstadt                          H5
227                        Dashoguz                          H5
228                           Daule                          L5
229                    De Cewsville                          H6
230                            Deal                          L6
231                           Delhi                          L5
232                          Demina                          L6
233                          Denver                          L6
234                         Dergaon                          H5
235                          Desuri                          H6
236                         Devgaon                        H3.8
237                     Devri-Khera                          L6
238                         Dhajala                        H3.8
239                         Dharwar                          OC
240                       Dhurmsala                         LL6
241                           Didim                        H3-5
242                      Diep River                          L6
243              Distrito Quebracho                          H4
244                  Djati-Pengilon                          H6
245                        Djermaia                           H
246                        Djoumine                        H5-6
247                         Dokachi                          H5
248                       Dolgovoli                          L6
249                       Domanitch                          L5
250                 Dong Ujimqin Qi                Mesosiderite
251                    Donga Kohrod                          H6
252                         Dongtai                         LL6
253                       Doroninsk                        H5-7
254                           Dosso                          L6
255                    Douar Mghila                         LL6
256                            Dowa                  Stone-uncl
257                     Drake Creek                          L6
258               Dresden (Ontario)                          H6
259                       Dubrovnik                        L3-6
260                        Dunbogan                          L6
261                         Dundrum                          H5
262                          Dunhua                  Stone-uncl
263                          Durala                          L6
264                          Duruma                          L6
265                           Duwun                          L6
266                         Dwaleni                        H4-6
267                         Dyalpur                    Ureilite
268                   Dyarrl Island             Mesosiderite-A1
269                           Eagle                         EL6
270                           Ehole                          H5
271                       Eichstädt                          H5
272                           Ekeby                          H4
273                       Ekh Khera                          H6
274                     El Idrissia                          L6
275               El Paso de Aguila                          H5
276                        El Tigre                          L6
277                          Elbert                         LL6
278                         Elbogen                   Iron, IID
279                        Elenovka                          L5
280                        Ellemeet                   Diogenite
281                       Emmaville               Eucrite-mmict
282                           Enshi                          H5
283                       Ensisheim                         LL6
284                          Épinal                          H5
285                          Erakot                         CM2
286                          Erevan                   Howardite
287                          Ergheo                          L5
288                        Erxleben                          H6
289                        Esnandes                          L6
290                          Essebi                      C2-ung
291                     Estherville           Mesosiderite-A3/4
